block,model,fold,r2,mae
D: +Cognition,Ridge,1,0.6564518704414493,1.9241490851909613
D: +Cognition,Ridge,2,0.6948299470101889,1.5820031841010742
D: +Cognition,Ridge,3,0.6928041489678762,1.7003094511579633
D: +Cognition,Ridge,4,0.7381442908509126,1.3838507745114552
D: +Cognition,Ridge,5,0.7627946343233858,1.5147211220328314
D: +Cognition,Ridge,6,0.800467540058116,1.3591752167385809
D: +Cognition,Ridge,7,0.6820128478572776,1.7522974751621037
D: +Cognition,Ridge,8,0.7050770431120793,1.656302549404569
D: +Cognition,Ridge,9,0.6263958066838351,1.6738895295585325
D: +Cognition,RF,0,0.7076739569544505,1.483340334625296
D: +Cognition,RF,1,0.8035040297379782,1.4183352832400589
D: +Cognition,RF,2,0.8492621906468478,1.0247509992161155
D: +Cognition,RF,3,0.8352161607031148,1.2805287051323957
D: +Cognition,RF,4,0.8240318582153632,1.1208848789435193
D: +Cognition,RF,5,0.8160683433965927,1.1496617851944748
D: +Cognition,RF,6,0.8428428453292633,1.1280164358776668
D: +Cognition,RF,7,0.7458437427166651,1.471410210100344
D: +Cognition,RF,8,0.8011518440160548,1.2670231027462726
D: +Cognition,RF,9,0.7331109299491968,1.1942450362957926
D: +Cognition,LightGBM,0,0.6923657792931452,1.6410968959580967
D: +Cognition,LightGBM,1,0.8020885104500711,1.4273327803074718
D: +Cognition,LightGBM,2,0.7739354738617998,1.223661999300127
D: +Cognition,LightGBM,3,0.8048232885170074,1.352807225569578
D: +Cognition,LightGBM,4,0.8262062689764422,1.1056787009503037
D: +Cognition,LightGBM,5,0.7327946689426497,1.3396710459485939
D: +Cognition,LightGBM,6,0.8018103422189005,1.2330004228421798
D: +Cognition,LightGBM,7,0.6762867694160709,1.58055371437167
D: +Cognition,LightGBM,8,0.7575900358972945,1.381063280115582
D: +Cognition,LightGBM,9,0.7495773148135159,1.3687819356868518
E: Full battery,Ridge,0,0.6623913258517546,1.8036362549444356
E: Full battery,Ridge,1,0.6827709637469435,1.870184919041995
E: Full battery,Ridge,2,0.7790235665629148,1.3615378104803275
E: Full battery,Ridge,3,0.7540494702852323,1.5839308855982273
E: Full battery,Ridge,4,0.7465344570632066,1.4108864568330899
E: Full battery,Ridge,5,0.7620492390216527,1.5852847932728635
E: Full battery,Ridge,6,0.8143197008142394,1.2640327704044438
E: Full battery,Ridge,7,0.7094613493091841,1.5875901814459223
E: Full battery,Ridge,8,0.7100336280998264,1.6623801250209809
E: Full battery,Ridge,9,0.6823771419257736,1.533713853783545
E: Full battery,RF,0,0.7145238728437248,1.4751997393295264
E: Full battery,RF,1,0.8265934370341248,1.312298869548417
E: Full battery,RF,2,0.8548886018696416,1.0226219221471389
E: Full battery,RF,3,0.8150060151090877,1.3481560479783927
E: Full battery,RF,4,0.855083284086096,1.0312165452737525
E: Full battery,RF,5,0.8292242510615895,1.1334084260544994
E: Full battery,RF,6,0.8384451474199529,1.118898297876187
E: Full battery,RF,7,0.7481318725739099,1.4699961376501247
E: Full battery,RF,8,0.8252208866561095,1.1944548502557866
E: Full battery,RF,9,0.7420071445014018,1.1614113329814204
E: Full battery,LightGBM,0,0.7225192130427751,1.6066231537373215
E: Full battery,LightGBM,1,0.817138839029343,1.3126997053892226
E: Full battery,LightGBM,2,0.7346792225405644,1.3021089798088257
E: Full battery,LightGBM,3,0.8232920790229027,1.2697515212698114
E: Full battery,LightGBM,4,0.8135761448291892,1.1706682962880701
E: Full battery,LightGBM,5,0.8085543136196361,1.2571089907837463
E: Full battery,LightGBM,6,0.8155236004865992,1.1810846706985698
E: Full battery,LightGBM,7,0.7040771408393587,1.5937527286278543
E: Full battery,LightGBM,8,0.7557121891165502,1.306384601628729
E: Full battery,LightGBM,9,0.7240183794546466,1.3250895123861157
